STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,POLLUTANT,Pollutant,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),STAT_COMB_OTH,Other combustions,T,Tonnes,2010,,121.7653,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),STAT_COMB_OTH,Other combustions,T,Tonnes,2009,,125.309,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),STAT_COMB_OTH,Other combustions,T,Tonnes,2008,,130.294,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),STAT_COMB_OTH,Other combustions,T,Tonnes,2007,,110.0599,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),STAT_COMB_OTH,Other combustions,T,Tonnes,2006,,79.75116,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),STAT_COMB_OTH,Other combustions,T,Tonnes,2005,,67.80996,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),T_EM_MM,Total man-made emissions,T,Tonnes,1998,,220.131,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),T_EM_MM,Total man-made emissions,T,Tonnes,1997,,220.1716,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),T_EM_MM,Total man-made emissions,T,Tonnes,1996,,222.9742,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,ITA,Italy,A,Annual,PM2_5,Particulates (PM2.5),T_EM_MM,Total man-made emissions,T,Tonnes,1995,,234.2389,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
